Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
framworkDemo,Chrome 66.0.3359.139,,2018-05-04 14:06:23,2018-05-04 14:06:50,27.115s,PASSED
,,,,,,
Test Cases/Test/oneWayFlight,Chrome 66.0.3359.139,Reserve a flight,2018-05-04 14:06:23,2018-05-04 14:06:34,10.649s,PASSED
callTestCase,Chrome 66.0.3359.139,,2018-05-04 14:06:24,2018-05-04 14:06:31,7.345s,PASSED
click,Chrome 66.0.3359.139,,2018-05-04 14:06:31,2018-05-04 14:06:31,0.064s,PASSED
selectOptionByValue,Chrome 66.0.3359.139,,2018-05-04 14:06:31,2018-05-04 14:06:31,0.179s,PASSED
selectOptionByValue,Chrome 66.0.3359.139,,2018-05-04 14:06:31,2018-05-04 14:06:32,0.241s,PASSED
selectOptionByValue,Chrome 66.0.3359.139,,2018-05-04 14:06:32,2018-05-04 14:06:32,0.432s,PASSED
selectOptionByValue,Chrome 66.0.3359.139,,2018-05-04 14:06:32,2018-05-04 14:06:32,0.146s,PASSED
selectOptionByValue,Chrome 66.0.3359.139,,2018-05-04 14:06:32,2018-05-04 14:06:32,0.204s,PASSED
selectOptionByIndex,Chrome 66.0.3359.139,,2018-05-04 14:06:32,2018-05-04 14:06:32,0.139s,PASSED
selectOptionByValue,Chrome 66.0.3359.139,,2018-05-04 14:06:32,2018-05-04 14:06:33,0.465s,PASSED
"Statement - firstClass = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.modifyObjectProperty(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(findFlightPage/input_servClass), ""value"", ""equals"", ""First"", true)",Chrome 66.0.3359.139,,2018-05-04 14:06:33,2018-05-04 14:06:33,0.013s,PASSED
click,Chrome 66.0.3359.139,,2018-05-04 14:06:33,2018-05-04 14:06:33,0.054s,PASSED
selectOptionByIndex,Chrome 66.0.3359.139,,2018-05-04 14:06:33,2018-05-04 14:06:33,0.086s,PASSED
click,Chrome 66.0.3359.139,,2018-05-04 14:06:33,2018-05-04 14:06:33,0.343s,PASSED
waitForPageLoad,Chrome 66.0.3359.139,,2018-05-04 14:06:33,2018-05-04 14:06:33,0.008s,PASSED
verifyTextPresent,Chrome 66.0.3359.139,,2018-05-04 14:06:33,2018-05-04 14:06:34,0.138s,PASSED
callTestCase,Chrome 66.0.3359.139,,2018-05-04 14:06:34,2018-05-04 14:06:34,0.252s,PASSED
,,,,,,
Test Cases/Test/oneWayFlight,Chrome 66.0.3359.139,Reserve a flight,2018-05-04 14:06:34,2018-05-04 14:06:42,8.043s,PASSED
callTestCase,Chrome 66.0.3359.139,,2018-05-04 14:06:34,2018-05-04 14:06:39,5.509s,PASSED
click,Chrome 66.0.3359.139,,2018-05-04 14:06:39,2018-05-04 14:06:39,0.056s,PASSED
selectOptionByValue,Chrome 66.0.3359.139,,2018-05-04 14:06:39,2018-05-04 14:06:40,0.157s,PASSED
selectOptionByValue,Chrome 66.0.3359.139,,2018-05-04 14:06:40,2018-05-04 14:06:40,0.226s,PASSED
selectOptionByValue,Chrome 66.0.3359.139,,2018-05-04 14:06:40,2018-05-04 14:06:40,0.395s,PASSED
selectOptionByValue,Chrome 66.0.3359.139,,2018-05-04 14:06:40,2018-05-04 14:06:40,0.168s,PASSED
selectOptionByValue,Chrome 66.0.3359.139,,2018-05-04 14:06:40,2018-05-04 14:06:41,0.190s,PASSED
selectOptionByIndex,Chrome 66.0.3359.139,,2018-05-04 14:06:41,2018-05-04 14:06:41,0.115s,PASSED
selectOptionByValue,Chrome 66.0.3359.139,,2018-05-04 14:06:41,2018-05-04 14:06:41,0.454s,PASSED
"Statement - firstClass = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.modifyObjectProperty(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(findFlightPage/input_servClass), ""value"", ""equals"", ""First"", true)",Chrome 66.0.3359.139,,2018-05-04 14:06:41,2018-05-04 14:06:41,0.005s,PASSED
click,Chrome 66.0.3359.139,,2018-05-04 14:06:41,2018-05-04 14:06:41,0.047s,PASSED
selectOptionByIndex,Chrome 66.0.3359.139,,2018-05-04 14:06:41,2018-05-04 14:06:41,0.064s,PASSED
click,Chrome 66.0.3359.139,,2018-05-04 14:06:41,2018-05-04 14:06:42,0.337s,PASSED
waitForPageLoad,Chrome 66.0.3359.139,,2018-05-04 14:06:42,2018-05-04 14:06:42,0.009s,PASSED
verifyTextPresent,Chrome 66.0.3359.139,,2018-05-04 14:06:42,2018-05-04 14:06:42,0.148s,PASSED
callTestCase,Chrome 66.0.3359.139,,2018-05-04 14:06:42,2018-05-04 14:06:42,0.152s,PASSED
,,,,,,
Test Cases/Test/oneWayFlight,Chrome 66.0.3359.139,Reserve a flight,2018-05-04 14:06:42,2018-05-04 14:06:50,7.981s,PASSED
