Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
framworkDemo,Chrome 66.0.3359.139,,2018-05-03 15:34:29,2018-05-03 15:34:40,11.897s,PASSED
,,,,,,
Test Cases/Test/oneWayFlight,Chrome 66.0.3359.139,Reserve one way floght,2018-05-03 15:34:29,2018-05-03 15:34:40,11.212s,PASSED
callTestCase,Chrome 66.0.3359.139,,2018-05-03 15:34:30,2018-05-03 15:34:38,7.843s,PASSED
click,Chrome 66.0.3359.139,,2018-05-03 15:34:38,2018-05-03 15:34:38,0.064s,PASSED
selectOptionByValue,Chrome 66.0.3359.139,,2018-05-03 15:34:38,2018-05-03 15:34:38,0.247s,PASSED
selectOptionByValue,Chrome 66.0.3359.139,,2018-05-03 15:34:38,2018-05-03 15:34:38,0.235s,PASSED
selectOptionByValue,Chrome 66.0.3359.139,,2018-05-03 15:34:38,2018-05-03 15:34:38,0.230s,PASSED
selectOptionByValue,Chrome 66.0.3359.139,,2018-05-03 15:34:38,2018-05-03 15:34:39,0.446s,PASSED
selectOptionByValue,Chrome 66.0.3359.139,,2018-05-03 15:34:39,2018-05-03 15:34:39,0.200s,PASSED
selectOptionByIndex,Chrome 66.0.3359.139,,2018-05-03 15:34:39,2018-05-03 15:34:39,0.130s,PASSED
selectOptionByValue,Chrome 66.0.3359.139,,2018-05-03 15:34:39,2018-05-03 15:34:40,0.464s,PASSED
"Statement - firstClass = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.modifyObjectProperty(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(findFlightPage/input_servClass), ""value"", ""equals"", ""First"", true)",Chrome 66.0.3359.139,,2018-05-03 15:34:40,2018-05-03 15:34:40,0.012s,PASSED
click,Chrome 66.0.3359.139,,2018-05-03 15:34:40,2018-05-03 15:34:40,0.050s,PASSED
selectOptionByIndex,Chrome 66.0.3359.139,,2018-05-03 15:34:40,2018-05-03 15:34:40,0.074s,PASSED
click,Chrome 66.0.3359.139,,2018-05-03 15:34:40,2018-05-03 15:34:40,0.285s,PASSED
waitForPageLoad,Chrome 66.0.3359.139,,2018-05-03 15:34:40,2018-05-03 15:34:40,0.008s,PASSED
verifyTextPresent,Chrome 66.0.3359.139,,2018-05-03 15:34:40,2018-05-03 15:34:40,0.134s,PASSED
callTestCase,Chrome 66.0.3359.139,,2018-05-03 15:34:40,2018-05-03 15:34:40,0.243s,PASSED
