Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
framworkDemo,Chrome 66.0.3359.139,,2018-05-03 19:26:14,2018-05-03 19:27:39,1m - 24.524s,PASSED
,,,,,,
Test Cases/Test/oneWayFlight,Chrome 66.0.3359.139,Reserve a flight,2018-05-03 19:26:15,2018-05-03 19:26:28,13.199s,PASSED
callTestCase,Chrome 66.0.3359.139,,2018-05-03 19:26:15,2018-05-03 19:26:25,9.821s,PASSED
click,Chrome 66.0.3359.139,,2018-05-03 19:26:25,2018-05-03 19:26:25,0.062s,PASSED
selectOptionByValue,Chrome 66.0.3359.139,,2018-05-03 19:26:25,2018-05-03 19:26:25,0.189s,PASSED
selectOptionByValue,Chrome 66.0.3359.139,,2018-05-03 19:26:25,2018-05-03 19:26:25,0.244s,PASSED
selectOptionByValue,Chrome 66.0.3359.139,,2018-05-03 19:26:25,2018-05-03 19:26:26,0.473s,PASSED
selectOptionByValue,Chrome 66.0.3359.139,,2018-05-03 19:26:26,2018-05-03 19:26:26,0.151s,PASSED
selectOptionByValue,Chrome 66.0.3359.139,,2018-05-03 19:26:26,2018-05-03 19:26:26,0.201s,PASSED
selectOptionByIndex,Chrome 66.0.3359.139,,2018-05-03 19:26:26,2018-05-03 19:26:26,0.148s,PASSED
selectOptionByValue,Chrome 66.0.3359.139,,2018-05-03 19:26:26,2018-05-03 19:26:27,0.467s,PASSED
"Statement - firstClass = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.modifyObjectProperty(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(findFlightPage/input_servClass), ""value"", ""equals"", ""First"", true)",Chrome 66.0.3359.139,,2018-05-03 19:26:27,2018-05-03 19:26:27,0.014s,PASSED
click,Chrome 66.0.3359.139,,2018-05-03 19:26:27,2018-05-03 19:26:27,0.069s,PASSED
selectOptionByIndex,Chrome 66.0.3359.139,,2018-05-03 19:26:27,2018-05-03 19:26:27,0.106s,PASSED
